hour,day_of_week,is_holiday,region_id,multiplier
7,6,0,1,1.0
10,1,0,1,2.0735
1,6,0,1,1.0
2,0,0,1,1.0038
17,3,0,1,2.5297
3,5,1,1,1.0
21,0,0,1,1.097
4,4,0,1,1.0098
13,4,0,1,1.2991
11,0,0,1,1.0677
17,2,0,1,1.9755
23,2,0,1,1.0
23,4,0,1,1.0077
9,2,0,1,1.8831
23,1,0,1,1.0
9,2,0,1,2.0116
16,0,0,1,1.027
3,1,0,1,1.0
20,1,0,1,1.9884
18,5,0,1,1.3301
12,1,0,1,1.1544
5,3,0,1,1.0433
13,6,0,1,1.0
23,1,0,1,1.0226
20,6,0,1,1.5801
4,0,0,1,1.0272
17,5,0,1,1.5987
21,3,0,1,1.0
9,1,0,1,2.0734
23,0,0,1,1.0
19,2,0,1,1.91
6,0,0,1,1.0
19,2,0,1,2.4338
11,1,0,1,1.0676
4,5,0,1,1.0
10,5,0,1,1.3555
9,2,0,1,1.7399
2,3,0,1,1.0
8,6,0,1,1.1077
18,5,0,1,1.7322
5,2,0,1,1.0
11,5,0,1,1.0
21,4,0,1,1.0997
20,0,0,1,2.5707
9,6,0,1,1.1686
2,5,0,1,1.0
22,5,0,1,1.0
6,3,0,1,1.0359
1,2,0,1,1.0
21,1,0,1,1.0266
6,4,0,1,1.0
14,5,0,1,1.0367
18,2,0,1,2.3097
3,5,0,1,1.0
5,4,0,1,1.0795
1,4,0,1,1.0258
14,3,0,1,1.3606
20,3,0,1,2.2221
11,0,0,1,1.0
14,3,0,1,1.4189
20,5,0,1,1.527
16,0,0,1,1.0656
15,0,0,1,1.0
4,5,1,1,1.0
11,2,0,1,1.0
20,6,0,1,1.5538
6,2,0,1,1.0
6,3,0,1,1.0956
20,2,0,1,2.018
18,4,0,1,2.126
17,3,0,1,2.3479
17,5,1,1,1.0
23,5,0,1,1.0
22,2,0,1,1.0
19,4,0,1,1.9161
23,1,0,1,1.0238
23,4,0,1,1.0495
18,4,0,1,1.867
23,5,0,1,1.0
19,0,0,1,1.997
6,4,0,1,1.0576
0,3,0,1,1.0
15,1,0,1,1.0628
12,5,0,1,1.0
11,1,0,1,1.0
13,6,0,1,1.0
6,4,0,1,1.0
